dimDiagnosisCodePK,DiagnosisCode,DiagnosisCodeDescription,DiagnosisCodeGroup
58167697,R410,"Disorientation, unspecified","Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
68648915,R410,"Disorientation, unspecified","Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
69216047,R410,"Disorientation, unspecified","Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
107181853,R404,"Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
94279298,R404,"Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
98123892,R404,"Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
107157806,R402,"Coma, unspecified","Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
107178334,R400,Somnolence,"Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
107424493,R400,Somnolence,"Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
107428201,R400,Somnolence,"Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
56914191,R400,Somnolence,"Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
66661437,R400,Somnolence,"Symptoms and signs involving cognition, perception, 	emotional state and behaviour"
65117722,R399,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system
65847847,R399,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system
76368173,R399,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system
58019065,R391,Other difficulties with micturition,Symptoms and signs involving the urinary system
107779769,R350,Polyuria,Symptoms and signs involving the urinary system
60799069,R350,Polyuria,Symptoms and signs involving the urinary system
93377453,R350,Polyuria,Symptoms and signs involving the urinary system
107353467,R339,Retention of urine,Symptoms and signs involving the urinary system
52925303,R339,Retention of urine,Symptoms and signs involving the urinary system
76641446,R339,Retention of urine,Symptoms and signs involving the urinary system
107450036,R32,Unspecified urinary incontinence,Symptoms and signs involving the urinary system
97318783,R32,Unspecified urinary incontinence,Symptoms and signs involving the urinary system
107251653,R319,Unspecified haematuria,Symptoms and signs involving the urinary system
87780278,R319,Unspecified haematuria,Symptoms and signs involving the urinary system
107181838,R312,Unspecified haematuria,Symptoms and signs involving the urinary system
67700501,R312,Unspecified haematuria,Symptoms and signs involving the urinary system
87759915,R311,Unspecified haematuria,Symptoms and signs involving the urinary system
107148156,R310,Unspecified haematuria,Symptoms and signs involving the urinary system
55770082,R310,Unspecified haematuria,Symptoms and signs involving the urinary system
107204264,R300,Dysuria,Symptoms and signs involving the urinary system
107401236,R300,Dysuria,Symptoms and signs involving the urinary system
107908399,R300,Dysuria,Symptoms and signs involving the urinary system
95500115,R300,Dysuria,Symptoms and signs involving the urinary system
98036519,R300,Dysuria,Symptoms and signs involving the urinary system
107070401,R298,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems
107219279,R298,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems
107243363,R298,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,Symptoms and signs involving the nervous and musculoskeletal systems
109138087,R270,"Ataxia, unspecified",Symptoms and signs involving the nervous and musculoskeletal systems
62125415,R270,"Ataxia, unspecified",Symptoms and signs involving the nervous and musculoskeletal systems
107116136,R269,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
107194726,R269,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
107340993,R269,Abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
103009528,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
106886928,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
106957725,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
106996035,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
107072895,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
107175944,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
107191459,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
107391609,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
107424801,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
108883359,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
113977572,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
114034137,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
114156865,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
88190915,R268,Other and unspecified abnormalities of gait and mobility,Symptoms and signs involving the nervous and musculoskeletal systems
79505668,R252,Cramp and spasm,Symptoms and signs involving the nervous and musculoskeletal systems
92564854,R252,Cramp and spasm,Symptoms and signs involving the nervous and musculoskeletal systems
107202221,R251,"Tremor, unspecified",Symptoms and signs involving the nervous and musculoskeletal systems
89547394,R229,"Localized swelling, mass and lump, unspecified","Symptoms and signs involving the skin and subcutaneous 	tissue"
71667321,R224,"Localized swelling, mass and lump, lower limb","Symptoms and signs involving the skin and subcutaneous 	tissue"
59841801,R223,"Localized swelling, mass and lump, upper limb","Symptoms and signs involving the skin and subcutaneous 	tissue"
95336527,R222,"Localized swelling, mass and lump, trunk","Symptoms and signs involving the skin and subcutaneous 	tissue"
71141613,R221,"Localized swelling, mass and lump, neck","Symptoms and signs involving the skin and subcutaneous 	tissue"
85286108,R221,"Localized swelling, mass and lump, neck","Symptoms and signs involving the skin and subcutaneous 	tissue"
107155041,R220,"Localized swelling, mass and lump, head","Symptoms and signs involving the skin and subcutaneous 	tissue"
107252971,R220,"Localized swelling, mass and lump, head","Symptoms and signs involving the skin and subcutaneous 	tissue"
107403504,R220,"Localized swelling, mass and lump, head","Symptoms and signs involving the skin and subcutaneous 	tissue"
86253064,R220,"Localized swelling, mass and lump, head","Symptoms and signs involving the skin and subcutaneous 	tissue"
97357303,R220,"Localized swelling, mass and lump, head","Symptoms and signs involving the skin and subcutaneous 	tissue"
107171345,R21,Rash and other nonspecific skin eruption,"Symptoms and signs involving the skin and subcutaneous 	tissue"
107202302,R21,Rash and other nonspecific skin eruption,"Symptoms and signs involving the skin and subcutaneous 	tissue"
56194483,R21,Rash and other nonspecific skin eruption,"Symptoms and signs involving the skin and subcutaneous 	tissue"
107192497,R209,Disturbances of skin sensation,"Symptoms and signs involving the skin and subcutaneous 	tissue"
107160494,R202,Paraesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
107438979,R202,Paraesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
57337764,R202,Paraesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
64693523,R202,Paraesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
81706817,R202,Paraesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
107119073,R200,Anaesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
107316197,R200,Anaesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
79094575,R200,Anaesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
83899246,R200,Anaesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
90646059,R200,Anaesthesia of skin,"Symptoms and signs involving the skin and subcutaneous 	tissue"
107256498,R198,Other specified symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107193092,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107425872,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107870708,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
109481696,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
56391761,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
57128334,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
94532172,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
95518295,R197,Other symptoms and signs involving the digestive system and abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107390464,R195,Other faecal abnormalities,"Symptoms and signs involving the digestive system and 	abdomen"
94052367,R194,Change in bowel habit,"Symptoms and signs involving the digestive system and 	abdomen"
67471703,R193,Abdominal rigidity,"Symptoms and signs involving the digestive system and 	abdomen"
53620334,R190,"Intra-abdominal and pelvic swelling, mass and lump","Symptoms and signs involving the digestive system and 	abdomen"
106932108,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
107001184,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
107124562,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
107133438,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
107144898,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
107442989,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
107451847,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
53345717,R188,Ascites,"Symptoms and signs involving the digestive system and 	abdomen"
107174968,R17,Unspecified jaundice,"Symptoms and signs involving the digestive system and 	abdomen"
85868293,R17,Unspecified jaundice,"Symptoms and signs involving the digestive system and 	abdomen"
107123224,R159,Faecal incontinence,"Symptoms and signs involving the digestive system and 	abdomen"
107157269,R140,Flatulence and related conditions,"Symptoms and signs involving the digestive system and 	abdomen"
107167746,R140,Flatulence and related conditions,"Symptoms and signs involving the digestive system and 	abdomen"
107356784,R140,Flatulence and related conditions,"Symptoms and signs involving the digestive system and 	abdomen"
107374759,R140,Flatulence and related conditions,"Symptoms and signs involving the digestive system and 	abdomen"
107405113,R140,Flatulence and related conditions,"Symptoms and signs involving the digestive system and 	abdomen"
68113002,R140,Flatulence and related conditions,"Symptoms and signs involving the digestive system and 	abdomen"
91687477,R140,Flatulence and related conditions,"Symptoms and signs involving the digestive system and 	abdomen"
107198418,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
107249091,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
107261206,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
107306524,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
107459657,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
64814489,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
89570088,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
94938426,R131,Dysphagia,"Symptoms and signs involving the digestive system and 	abdomen"
107002063,R112,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
107230134,R112,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
107398804,R112,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
63049136,R112,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
71978416,R112,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
78715604,R112,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
96740142,R112,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
104743425,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
107254011,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
107450866,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
54414458,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
61892115,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
71790305,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
75367484,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
76697891,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
98799527,R111,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
107390783,R110,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
79630762,R110,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
94456422,R110,Nausea and vomiting,"Symptoms and signs involving the digestive system and 	abdomen"
107019685,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107104667,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107115201,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107148391,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107159584,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107180755,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107220425,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107277365,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107286958,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107308402,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107480098,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107494356,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
108158034,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
58601147,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
59758793,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
61419574,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
72243532,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
72356263,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
76653089,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
77367661,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
79392311,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
80065622,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
80752252,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
85553949,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
92730359,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
94784184,R109,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107333092,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107349344,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107366395,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107425098,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107430666,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107443039,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
107460002,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
108213696,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
108231612,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
54850159,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
60252208,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
60636339,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
69696657,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
73821594,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
86012195,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
87813886,R108,Abdominal and pelvic pain,"Symptoms and signs involving the digestive system and 	abdomen"
101444157,R103,Pain localized to other parts of lower abdomen,Symptoms and signs involving the digestive system and abdomen
107340512,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107375841,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107380541,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107428709,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
108608473,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
61641299,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
66797679,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
71672345,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
73216322,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
76121917,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
77830181,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
78163362,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
84959395,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
87666136,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
95827903,R103,Pain localized to other parts of lower abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107364193,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
107402391,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
107409171,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
55893782,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
57423523,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
58958321,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
62339763,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
63097205,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
88106279,R102,Pelvic and perineal pain,"Symptoms and signs involving the digestive system and 	abdomen"
107100682,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107188666,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107324941,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107339628,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107365739,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107372169,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107394863,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107439897,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
108753977,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
53398212,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
61939699,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
67904095,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
70204089,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
77803468,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
81483683,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
85982681,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
88631042,R101,Pain localized to upper abdomen,"Symptoms and signs involving the digestive system and 	abdomen"
107194187,R098,Other specified symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems
107203729,R098,Other specified symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems
107260637,R098,Other specified symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems
75995218,R098,Other specified symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems
90686656,R098,Other specified symptoms and signs involving the circulatory and respiratory systems,Symptoms and signs involving the circulatory and respiratory systems
107131118,R091,Pleurisy,Symptoms and signs involving the circulatory and respiratory systems
107436272,R091,Pleurisy,Symptoms and signs involving the circulatory and respiratory systems
107166092,R090,Asphyxia,Symptoms and signs involving the circulatory and respiratory systems
107221024,R090,Asphyxia,Symptoms and signs involving the circulatory and respiratory systems
107244368,R090,Asphyxia,Symptoms and signs involving the circulatory and respiratory systems
107439992,R090,Asphyxia,Symptoms and signs involving the circulatory and respiratory systems
107827738,R090,Asphyxia,Symptoms and signs involving the circulatory and respiratory systems
61017719,R090,Asphyxia,Symptoms and signs involving the circulatory and respiratory systems
93196107,R090,Asphyxia,Symptoms and signs involving the circulatory and respiratory systems
107115076,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107172682,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107186626,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107235189,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107293706,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107301277,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107302491,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107313949,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107335293,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107405654,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107436589,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107834975,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
108569668,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
108858185,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
54132902,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
57939417,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
77359081,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
79271273,R079,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107129425,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107129725,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107169061,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107182194,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107186942,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107193543,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107215975,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107282598,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107326599,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107332496,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107368645,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107462605,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107463167,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107531798,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107634366,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
54052502,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
55063769,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
55177166,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
55239421,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
55394543,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
60879491,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
60917443,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
61091078,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
62226883,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
67939685,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
69970481,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
74557827,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
75970117,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
79755344,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
82807747,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
83082367,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
88099867,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
91196475,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
91845246,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
92825966,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
95553617,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
95999294,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
97331273,R078,Pain in throat and chest,Symptoms and signs involving the circulatory and respiratory systems
107165401,R072,Precordial pain,Symptoms and signs involving the circulatory and respiratory systems
107200581,R072,Precordial pain,Symptoms and signs involving the circulatory and respiratory systems
107292101,R072,Precordial pain,Symptoms and signs involving the circulatory and respiratory systems
64634995,R072,Precordial pain,Symptoms and signs involving the circulatory and respiratory systems
76573686,R072,Precordial pain,Symptoms and signs involving the circulatory and respiratory systems
89105148,R072,Precordial pain,Symptoms and signs involving the circulatory and respiratory systems
79063651,R071,Chest pain on breathing,Symptoms and signs involving the circulatory and respiratory systems
94419292,R071,Chest pain on breathing,Symptoms and signs involving the circulatory and respiratory systems
107118379,R068,Other and unspecified abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems
107180922,R068,Other and unspecified abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems
107287878,R068,Other and unspecified abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems
107294116,R068,Other and unspecified abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems
70992055,R068,Other and unspecified abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems
94514864,R068,Other and unspecified abnormalities of breathing,Symptoms and signs involving the circulatory and respiratory systems
107190205,R062,Wheezing,Symptoms and signs involving the circulatory and respiratory systems
107228686,R062,Wheezing,Symptoms and signs involving the circulatory and respiratory systems
108807799,R062,Wheezing,Symptoms and signs involving the circulatory and respiratory systems
63994875,R062,Wheezing,Symptoms and signs involving the circulatory and respiratory systems
100766384,R060,Dyspnoea,Symptoms and signs involving the circulatory and respiratory systems
101458883,R060,Dyspnoea,Symptoms and signs involving the circulatory and respiratory systems
103294561,R060,Dyspnoea,Symptoms and signs involving the circulatory and respiratory systems
103624595,R060,Dyspnoea,Symptoms and signs involving the circulatory and respiratory systems
105560468,R060,Dyspnoea,Symptoms and signs involving the circulatory and respiratory systems
